id,gene,gene_id,description
gene104,hofC,gene:BAB96674,assembly protein in type IV pilin biogenesis%2C transmembrane protein
gene105,hofB,gene:BAB96676,conserved hypothetical protein with nucleoside triphosphate hydrolase domain
gene106,ppdD,gene:BAB96678,predicted major pilin subunit
gene107,nadC,gene:BAE76041,quinolinate phosphoribosyltransferase
gene108,ampD,gene:BAB96679,N-acetyl-anhydromuranmyl-L-alanine amidase
gene109,ampE,gene:BAB96680,predicted inner membrane protein
gene110,aroP,gene:BAB96681,aromatic amino acid transporter
gene111,pdhR,gene:BAB96683,DNA-binding transcriptional dual regulator
gene112,aceE,gene:BAB96684,pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamin-binding
gene113,aceF,gene:BAB96685,pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2
gene114,lpd,gene:BAB96686,lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes
gene115,yacH,gene:BAB96689,hypothetical protein
gene116,acnB,gene:BAB96692,bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase
gene117,yacL,gene:BAB96693,conserved hypothetical protein
gene118,speD,gene:BAB96694,S-adenosylmethionine decarboxylase
gene119,speE,gene:BAB96695,spermidine synthase
gene120,yacC,gene:BAB96696,hypothetical protein
gene121,cueO,gene:BAB96698,multicopper oxidase (laccase)
gene122,gcd,gene:BAB96699,glucose dehydrogenase
gene123,hpt,gene:BAB96700,hypoxanthine phosphoribosyltransferase
gene124,can,gene:BAB96701,carbonic anhydrase
gene125,yadG,gene:BAB96703,predicted transporter subunit
gene126,yadH,gene:BAB96705,predicted transporter subunit
gene127,yadI,gene:BAB96706,predicted PTS Enzyme IIA
gene128,yadE,gene:BAB96707,predicted polysaccharide deacetylase lipoprotein
gene129,panD,gene:BAB96708,aspartate 1-decarboxylase
gene130,yadD,gene:BAB96710,predicted transposase
gene131,panC,gene:BAE76042,pantothenate synthetase
gene132,panB,gene:BAB96711,3-methyl-2-oxobutanoate hydroxymethyltransferase
gene133,yadC,gene:BAB96712,predicted fimbrial-like adhesin protein
gene134,yadK,gene:BAB96713,predicted fimbrial-like adhesin protein
gene135,yadL,gene:BAB96714,predicted fimbrial-like adhesin protein
gene136,yadM,gene:BAB96715,predicted fimbrial-like adhesin protein
gene137,htrE,gene:BAE76043,predicted outer membrane usher protein
gene138,ecpD,gene:BAB96716,predicted periplasmic pilin chaperone
gene139,yadN,gene:BAB96717,predicted fimbrial-like adhesin protein
gene140,folK,gene:BAB96719,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
gene141,pcnB,gene:BAB96720,poly(A) polymerase I
gene142,yadB,gene:BAB96721,glutamyl-Q tRNA(Asp) synthetase
gene143,dksA,gene:BAB96722,transcriptional regulator of rRNA transcription%2C DnaK suppressor protein
gene144,sfsA,gene:BAB96723,predicted DNA-binding transcriptional regulator
gene145,ligT,gene:BAB96724,2'-5' RNA ligase
gene146,hrpB,gene:BAE76044,predicted ATP-dependent helicase
gene147,mrcB,gene:BAB96725,fused glycosyl transferase and transpeptidase
gene148,fhuA,gene:BAB96726,ferrichrome outer membrane transporter
gene149,fhuC,gene:BAB96727,iron-hydroxamate transporter subunit
gene150,fhuD,gene:BAB96728,iron-hydroxamate transporter subunit
gene151,fhuB,gene:BAB96729,fused subunits of iron-hydroxamate transporter and membrane components of ABC superfamily transporter
gene152,hemL,gene:BAB96731,glutamate-1-semialdehyde aminotransferase
gene153,clcA,gene:BAB96732,chloride channel%2C voltage-gated
gene154,yadR,gene:BAB96733,conserved hypothetical protein
gene155,yadS,gene:BAB96734,conserved inner membrane protein
gene156,btuF,gene:BAB96735,vitamin B12 transporter subunit
gene157,pfs,gene:BAB96736,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
gene158,dgt,gene:BAB96737,deoxyguanosine triphosphate triphosphohydrolase
gene159,degP,gene:BAB96738,serine endoprotease (protease Do)%2C membrane-associated
gene160,cdaR,gene:BAB96739,DNA-binding transcriptional regulator
gene161,yaeH,gene:BAB96740,conserved hypothetical protein
gene162,yaeI,gene:BAB96741,predicted phosphatase
gene163,dapD,gene:BAB96742,2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase
gene164,glnD,gene:BAE76045,uridylyltransferase
gene165,map,gene:BAB96743,methionine aminopeptidase
gene166,tff,,
gene167,rpsB,gene:BAB96744,30S ribosomal subunit protein S2
gene168,tsf,gene:BAB96746,protein chain elongation factor EF-Ts
gene169,pyrH,gene:BAB96747,uridylate kinase
gene170,frr,gene:BAB96748,ribosome recycling factor
gene171,dxr,gene:BAA77848,1-deoxy-D-xylulose 5-phosphate reductoisomerase
gene172,ispU,gene:BAA77849,undecaprenyl pyrophosphate synthase
gene173,cdsA,gene:BAA77850,CDP-diglyceride synthase
gene174,yaeL,gene:BAA77851,zinc metallopeptidase
gene175,yaeT,gene:BAA77852,conserved hypothetical protein
gene176,hlpA,gene:BAA77853,periplasmic chaperone
gene177,lpxD,gene:BAA77854,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
gene178,fabZ,gene:BAA77855,(3R)-hydroxymyristol acyl carrier protein dehydratase
gene179,lpxA,gene:BAA77856,UDP-N-acetylglucosamine acetyltransferase
gene180,lpxB,gene:BAA77857,tetraacyldisaccharide-1-P synthase
gene181,rnhB,gene:BAA77858,ribonuclease HII%2C degrades RNA of DNA-RNA hybrids
gene182,dnaE,gene:BAA77859,DNA polymerase III alpha subunit
gene183,accA,gene:BAA77860,acetylCoA carboxylase%2C carboxytransferase%2C alpha subunit
gene184,ldcC,gene:BAA77861,lysine decarboxylase 2%2C constitutive
gene185,yaeR,gene:BAA77862,predicted lyase
gene186,tilS,gene:BAA77863,tRNA(Ile)-lysidine synthetase
gene187,rof,gene:BAA77864,modulator of Rho-dependent transcription termination
gene188,yaeP,gene:BAA77865,conserved hypothetical protein
gene189,yaeQ,gene:BAA77866,conserved hypothetical protein
gene190,yaeJ,gene:BAA77867,conserved hypothetical protein
gene191,nlpE,gene:BAA77868,lipoprotein involved with copper homeostasis and adhesion
gene192,yaeF,gene:BAA77869,predicted lipoprotein
gene193,proS,gene:BAA77870,prolyl-tRNA synthetase
gene194,yaeB,gene:BAA77871,conserved hypothetical protein
gene195,rcsF,gene:BAA77873,predicted outer membrane protein%2C signal
gene196,metQ,gene:BAA77874,DL-methionine transporter subunit
gene197,metI,gene:BAA77875,DL-methionine transporter subunit
gene198,metN,gene:BAA77876,DL-methionine transporter subunit
gene199,gmhB,gene:BAA77877,D%2CD-heptose 1%2C7-bisphosphate phosphatase
gene200,rrsH,,
gene201,ileV,,
gene202,alaV,,
gene203,rrlH,,
gene204,rrfH,,
gene205,aspU,,
gene206,dkgB,gene:BAA77878,2%2C5-diketo-D-gluconate reductase B
gene207,yafC,gene:BAA77879,predicted DNA-binding transcriptional regulator
gene208,yafD,gene:BAA77880,conserved hypothetical protein
gene209,yafE,gene:BAA77881,predicted S-adenosyl-L-methionine-dependent methyltransferase
gene210,mltD,gene:BAA77882,predicted membrane-bound lytic murein transglycosylase D
gene211,gloB,gene:BAA77883,predicted hydroxyacylglutathione hydrolase
gene212,yafS,gene:BAA77884,predicted S-adenosyl-L-methionine-dependent methyltransferase
gene213,rnhA,gene:BAA77885,ribonuclease HI%2C degrades RNA of DNA-RNA hybrids
gene214,dnaQ,gene:BAA77886,DNA polymerase III epsilon subunit
gene215,aspV,,
gene216,yafT,gene:BAA77887,predicted aminopeptidase
gene217,yafU,gene:BAE76046,predicted inner membrane protein
gene218,yafF,gene:BAA77888,conserved hypothetical protein
gene219,yafV,gene:BAA77889,predicted C-N hydrolase family amidase%2C NAD(P)-binding
gene220,ivy,gene:BAA77890,inhibitor of vertebrate C-lysozyme
gene221,fadE,gene:BAA77891,acyl coenzyme A dehydrogenase
gene222,lpcA,gene:BAA77892,D-sedoheptulose 7-phosphate isomerase
gene223,yafJ,gene:BAA77893,predicted amidotransfease
gene224,yafK,gene:BAA77894,conserved hypothetical protein
gene225,yafQ,gene:BAA77895,predicted toxin of the YafQ-DinJ toxin-antitoxin system
gene226,dinJ,gene:BAA77896,predicted antitoxin of YafQ-DinJ toxin-antitoxin system
gene227,yafL,gene:BAA77897,predicted lipoprotein and C40 family peptidase
gene228,yafM,gene:BAA77898,conserved hypothetical protein
gene229,fhiA,,
gene230,mbhA,,
gene231,dinB,gene:BAA77901,DNA polymerase IV
gene232,yafN,gene:BAE76047,predicted antitoxin of the YafO-YafN toxin-antitoxin system
gene233,yafO,gene:BAA77902,predicted toxin of the YafO-YafN toxin-antitoxin system
gene234,yafP,gene:BAA77903,predicted acyltransferase with acyl-CoA N-acyltransferase domain
gene235,ykfJ,gene:BAA77904,conserved hypothetical protein
gene236,prfH,gene:BAA77905,predicted peptide chain release factor
gene237,pepD,gene:BAA77906,aminoacyl-histidine dipeptidase
gene238,gpt,gene:BAA77907,guanine-hypoxanthine phosphoribosyltransferase
gene239,frsA,gene:BAA77908,hydrolase%2C binds to enzyme IIA(Glc)
gene240,crl,gene:BAA77909,DNA-binding transcriptional regulator
gene241,phoE,gene:BAA77910,outer membrane phosphoporin protein E
gene242,proB,gene:BAA77911,gamma-glutamate kinase
gene243,proA,gene:BAA77912,gamma-glutamylphosphate reductase
gene244,thrW,,
gene245,ykfI,gene:BAA77913,toxin of the YkfI-YafW toxin-antitoxin system
gene246,yafW,gene:BAA77914,antitoxin of the YkfI-YafW toxin-antitoxin system
gene247,ykfH,gene:BAA77915,hypothetical protein
gene248,ykfG,gene:BAA77916,predicted DNA repair protein
gene249,yafX,gene:BAA77917,hypothetical protein
gene250,ykfF,gene:BAA77918,hypothetical protein
gene251,ykfB,gene:BAA77919,hypothetical protein
gene252,yafY,gene:BAA77920,predicted DNA-binding transcriptional regulator
gene253,yafZ,gene:BAA77921,conserved hypothetical protein
gene254,ykfA,gene:BAA77923,predicted GTP-binding protein
gene255,perR,gene:BAA77924,predicted DNA-binding transcriptional regulator
gene256,insN,gene:BAA77925,partial regulator of insertion element IS911A
gene257,insI,gene:BAE76048,IS30 transposase
gene258,insO,gene:BAA77926,partial transposase of insertion element IS911A
gene259,ykfC,gene:BAA77927,conserved hypothetical protein
gene260,insH,gene:BAE76049,IS5 transposase and trans-activator
gene261,mmuP,gene:BAA77928,predicted S-methylmethionine transporter
gene262,mmuM,gene:BAA77929,S-methylmethionine:homocysteine methyltransferase
gene263,afuC,gene:BAA77930,predicted ferric transporter subunit
gene264,afuB,gene:BAA77931,predicted ferric trasnporter subunit
gene265,insB,gene:BAE76033,IS1 transposase InsAB'
gene266,insA,gene:BAE76034,IS1 repressor protein InsA
gene267,ykgN,gene:BAA77932,predicted IS protein
gene268,yagB,gene:BAE76052,conserved hypothetical protein
gene269,yagA,gene:BAA77933,predicted DNA-binding transcriptional regulator
gene270,yagE,gene:BAA77934,predicted lyase/synthase
gene271,yagF,gene:BAE76053,predicted dehydratase
gene272,yagG,gene:BAE76054,predicted sugar transporter
gene273,yagH,gene:BAE76055,predicted xylosidase/arabinosidase
gene274,yagI,gene:BAE76056,predicted DNA-binding transcriptional regulator
gene275,argF,gene:BAE76057,ornithine carbamoyltransferase 2%2C chain F
gene276,insB,gene:BAE76033,IS1 transposase InsAB'
gene277,insA,gene:BAE76034,IS1 repressor protein InsA
gene278,yagJ,gene:BAE76060,hypothetical protein
gene279,yagK,gene:BAE76061,conserved hypothetical protein
gene280,yagL,gene:BAE76062,DNA-binding protein
gene281,yagM,gene:BAE76063,hypothetical protein
gene282,yagN,gene:BAE76064,hypothetical protein
gene283,intF,gene:BAE76065,predicted phage integrase
gene284,yagP,gene:BAE76066,predicted transcriptional regulator
gene285,yagQ,gene:BAE76067,conserved hypothetical protein
gene286,yagR,gene:BAE76068,predicted oxidoreductase with molybdenum-binding domain
gene287,yagS,gene:BAE76069,predicted oxidoreductase with FAD-binding domain
gene288,yagT,gene:BAE76070,predicted xanthine dehydrogenase%2C 2Fe-2S subunit
gene289,yagU,gene:BAE76071,conserved inner membrane protein
gene290,ykgJ,gene:BAE76072,predicted ferredoxin
gene291,yagV,gene:BAE76073,conserved hypothetical protein
gene292,yagW,gene:BAE76074,predicted receptor
gene293,yagX,gene:BAE76075,predicted aromatic compound dioxygenase
gene294,yagY,gene:BAE76076,hypothetical protein
gene295,yagZ,gene:BAE76077,conserved hypothetical protein
gene296,ykgK,gene:BAE76078,predicted regulator
gene297,ykgL,gene:BAE76079,hypothetical protein
gene298,ykgM,gene:BAE76080,predicted ribosomal protein
gene299,eaeH,gene:BAE76082,attaching and effacing protein%2C pathogenesis factor
gene300,insE,gene:BAE76083,IS3 element protein
gene301,insF,gene:BAE76084,IS3 element protein InsF
gene302,ykgA,gene:BAE76085,predicted DNA-binding transcriptional regulator
gene303,ykgB,gene:BAE76086,conserved inner membrane protein
gene304,ykgI,gene:BAE76087,hypothetical protein
gene305,ykgC,gene:BAE76088,predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain
gene306,ykgD,gene:BAE76089,predicted DNA-binding transcriptional regulator
gene307,ykgE,gene:BAE76090,predicted oxidoreductase
gene308,ykgF,gene:BAE76091,predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
gene309,ykgG,gene:BAE76092,predicted transporter
gene310,ykgH,gene:BAE76093,predicted inner membrane protein
gene311,betA,gene:BAE76094,choline dehydrogenase%2C a flavoprotein
gene312,betB,gene:BAE76095,betaine aldehyde dehydrogenase%2C NAD-dependent
gene313,betI,gene:BAE76096,DNA-binding transcriptional repressor
gene314,betT,gene:BAE76097,choline transporter of high affinity
gene315,yahA,gene:BAE76098,predicted DNA-binding transcriptional regulator
gene316,yahB,gene:BAE76099,predicted DNA-bindng transcriptional regulator
gene317,yahC,gene:BAE76100,predicted inner membrane protein
gene318,yahD,gene:BAE76101,predicted transcriptional regulator with ankyrin domain
gene319,yahE,gene:BAE76102,hypothetical protein
gene320,yahF,gene:BAE76103,predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain
gene321,yahG,gene:BAE76104,conserved hypothetical protein
gene322,yahH,gene:BAE76105,hypothetical protein
gene323,yahI,gene:BAE76106,predicted carbamate kinase-like protein
gene324,yahJ,gene:BAE76107,predicted deaminase with metallo-dependent hydrolase domain
gene325,yahK,gene:BAE76108,predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding
gene326,yahL,gene:BAE76109,hypothetical protein
gene327,yahM,gene:BAE76110,hypothetical protein
gene328,yahN,gene:BAE76111,neutral amino-acid efflux system
gene329,yahO,gene:BAE76112,hypothetical protein
gene330,prpR,gene:BAE76113,DNA-binding transcriptional regulator
gene331,prpB,gene:BAE76114,2-methylisocitrate lyase
gene332,prpC,gene:BAE76115,2-methylcitrate synthase
gene333,prpD,gene:BAE76116,2-methylcitrate dehydratase
gene334,prpE,gene:BAE76117,predicted propionyl-CoA synthetase with ATPase domain
gene335,codB,gene:BAE76118,cytosine transporter
gene336,codA,gene:BAE76119,cytosine deaminase
gene337,cynR,gene:BAE76120,DNA-binding transcriptional dual regulator
gene338,cynT,gene:BAE76121,carbonic anhydrase
gene339,cynS,gene:BAE76122,cyanate aminohydrolase
gene340,cynX,gene:BAE76123,predicted cyanate transporter
gene341,lacA,gene:BAE76124,thiogalactoside acetyltransferase
gene342,lacY,gene:BAE76125,lactose/galactose transporter
gene343,lacZ,gene:BAE76126,beta-D-galactosidase
gene344,lacI,gene:BAE76127,DNA-binding transcriptional repressor
gene345,mhpR,gene:BAE76128,DNA-binding transcriptional activator%2C 3HPP-binding
gene346,mhpA,gene:BAE76129,3-(3-hydroxyphenyl)propionate hydroxylase
gene347,mhpB,gene:BAE76130,2%2C3-dihydroxyphenylpropionate 1%2C2-dioxygenase
gene348,mhpC,gene:BAE76131,2-hydroxy-6-ketonona-2%2C4-dienedioic acid hydrolase
gene349,mhpD,gene:BAE76132,2-keto-4-pentenoate hydratase
gene350,mhpF,gene:BAE76133,acetaldehyde-CoA dehydrogenase II%2C NAD-binding
gene351,mhpE,gene:BAE76134,4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase%2C class I
gene352,mhpT,gene:BAE76135,predicted 3-hydroxyphenylpropionic transporter
gene353,yaiL,gene:BAE76136,nucleoprotein/polynucleotide-associated enzyme
gene354,frmB,gene:BAE76137,predicted esterase
gene355,frmA,gene:BAE76138,alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase
gene356,frmR,gene:BAE76139,regulator protein that represses frmRAB operon
gene357,yaiO,gene:BAE76140,hypothetical protein
gene358,yaiX,,
gene359,insC,gene:BAE76141,IS2 insertion element repressor InsA
gene360,insD,gene:BAE76142,IS2 insertion element transposase InsAB'
gene361,yaiF,gene:BAE76143,hypothetical protein
gene362,yaiP,gene:BAE76144,predicted glucosyltransferase
gene363,yaiS,gene:BAE76145,conserved hypothetical protein
gene364,tauA,gene:BAE76146,taurine transporter subunit
gene365,tauB,gene:BAE76147,taurine transporter subunit
gene366,tauC,gene:BAE76148,taurine transporter subunit
gene367,tauD,gene:BAE76149,taurine dioxygenase%2C 2-oxoglutarate-dependent
gene368,hemB,gene:BAE76150,porphobilinogen synthase
gene369,ykiB,gene:BAE76151,hypothetical protein
gene370,yaiT,gene:BAE76152,hypothetical protein
gene371,insF,gene:BAE76084,IS3 element protein InsF
gene372,insE,gene:BAE76083,IS3 element protein
gene373,yaiU,gene:BAE76155,hypothetical protein
gene374,yaiV,gene:BAE76156,predicted DNA-binding transcriptional regulator
gene375,ampH,gene:BAE76157,beta-lactamase/D-alanine carboxypeptidase
gene376,sbmA,gene:BAE76158,predicted transporter
gene377,yaiW,gene:BAE76159,predicted DNA-binding transcriptional regulator
gene378,yaiY,gene:BAE76160,predicted inner membrane protein
gene379,yaiZ,gene:BAE76161,predicted inner membrane protein
gene380,ddlA,gene:BAE76162,D-alanine-D-alanine ligase A
gene381,yaiB,gene:BAE76163,hypothetical protein
gene382,phoA,gene:BAE76164,alkaline phosphatase
gene383,psiF,gene:BAE76165,conserved hypothetical protein
gene384,yaiC,gene:BAE76166,predicted diguanylate cyclase
gene385,proC,gene:BAE76167,pyrroline-5-carboxylate reductase%2C NAD(P)-binding
gene386,yaiI,gene:BAE76168,conserved hypothetical protein
gene387,aroL,gene:BAE76169,shikimate kinase II
gene388,yaiA,gene:BAE76170,hypothetical protein
gene389,aroM,gene:BAE76171,conserved hypothetical protein
gene390,yaiE,gene:BAE76172,conserved hypothetical protein
gene391,ykiA,gene:BAE76173,hypothetical protein
gene392,rdgC,gene:BAE76174,DNA-binding protein%2C non-specific
gene393,mak,gene:BAE76175,manno(fructo)kinase
gene394,araJ,gene:BAE76176,predicted transporter
gene395,sbcC,gene:BAE76177,exonuclease%2C dsDNA%2C ATP-dependent
gene396,sbcD,gene:BAE76178,exonuclease%2C dsDNA%2C ATP-dependent
gene397,phoB,gene:BAE76179,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)
gene398,phoR,gene:BAE76180,sensory histidine kinase in two-component regulatory system with PhoB
gene399,brnQ,gene:BAE76181,predicted branched chain amino acid transporter
gene400,proY,gene:BAE76182,predicted cryptic proline transporter
gene401,malZ,gene:BAE76183,maltodextrin glucosidase
gene402,yajB,gene:BAE76184,conserved hypothetical protein
gene403,queA,gene:BAE76185,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
gene404,tgt,gene:BAE76186,tRNA-guanine transglycosylase
gene405,yajC,gene:BAE76187,SecYEG protein translocase auxillary subunit
gene406,secD,gene:BAE76188,SecYEG protein translocase auxillary subunit
gene407,secF,gene:BAE76189,SecYEG protein translocase auxillary subunit
gene408,yajD,gene:BAE76190,conserved hypothetical protein
gene409,tsx,gene:BAE76191,nucleoside channel%2C receptor of phage T6 and colicin K
gene410,yajI,gene:BAE76192,predicted lipoprotein
gene411,ybaD,gene:BAE76193,conserved hypothetical protein
gene412,ribD,gene:BAE76194,fused diaminohydroxyphosphoribosylaminopyrimidin e deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase
gene413,ribE,gene:BAE76195,riboflavin synthase beta chain
gene414,nusB,gene:BAE76196,transcription antitermination protein
gene415,thiL,gene:BAE76197,thiamin-monophosphate kinase
gene416,pgpA,gene:BAE76198,phosphatidylglycerophosphatase A
gene417,yajO,gene:BAE76199,predicted oxidoreductase%2C NAD(P)-binding
